index	predictions
346	contradiction
347	entailment
348	contradiction
349	entailment
350	entailment
351	neutral
352	entailment
353	neutral
354	entailment
355	contradiction
356	entailment
357	contradiction
358	contradiction
359	neutral
360	neutral
361	contradiction
362	contradiction
363	neutral
364	contradiction
365	entailment
366	neutral
367	neutral
368	contradiction
369	neutral
370	entailment
371	neutral
372	entailment
373	entailment
374	neutral
375	contradiction
376	neutral
377	neutral
378	contradiction
379	contradiction
380	contradiction
381	neutral
382	neutral
383	contradiction
384	neutral
385	neutral
386	contradiction
387	contradiction
388	entailment
389	entailment
390	contradiction
391	neutral
392	neutral
393	neutral
394	entailment
395	neutral
396	neutral
397	neutral
398	contradiction
399	contradiction
400	contradiction
401	entailment
402	neutral
403	neutral
404	entailment
405	neutral
406	entailment
407	entailment
408	neutral
409	entailment
410	entailment
411	contradiction
412	contradiction
413	contradiction
414	contradiction
415	contradiction
416	contradiction
417	entailment
418	entailment
419	entailment
420	entailment
421	entailment
422	entailment
423	contradiction
424	contradiction
425	neutral
426	contradiction
427	contradiction
428	neutral
429	entailment
430	contradiction
431	contradiction
432	contradiction
433	neutral
434	entailment
435	entailment
436	contradiction
437	neutral
438	contradiction
439	neutral
440	entailment
441	entailment
442	neutral
443	entailment
444	entailment
445	entailment
446	entailment
447	entailment
448	contradiction
449	contradiction
450	neutral
451	entailment
452	contradiction
453	neutral
454	contradiction
455	neutral
456	neutral
457	contradiction
458	entailment
459	neutral
460	contradiction
461	contradiction
462	contradiction
463	neutral
464	contradiction
465	neutral
466	contradiction
467	contradiction
468	neutral
469	neutral
470	entailment
471	neutral
472	contradiction
473	neutral
474	contradiction
475	neutral
476	entailment
477	contradiction
478	entailment
479	contradiction
480	neutral
481	contradiction
482	neutral
483	entailment
484	contradiction
485	entailment
486	entailment
487	contradiction
488	entailment
489	contradiction
490	neutral
491	contradiction
492	contradiction
493	entailment
494	contradiction
495	entailment
496	contradiction
497	entailment
498	neutral
499	neutral
500	contradiction
501	entailment
502	neutral
503	entailment
504	entailment
505	neutral
506	entailment
507	entailment
508	entailment
509	neutral
510	contradiction
511	contradiction
512	entailment
513	entailment
514	contradiction
515	entailment
516	neutral
517	neutral
518	neutral
519	entailment
520	contradiction
521	neutral
522	contradiction
523	contradiction
524	entailment
525	contradiction
526	entailment
527	entailment
528	contradiction
529	neutral
530	neutral
531	neutral
532	neutral
533	entailment
534	entailment
535	neutral
536	entailment
537	contradiction
538	contradiction
539	contradiction
540	contradiction
541	neutral
542	contradiction
543	neutral
544	entailment
545	neutral
546	entailment
547	contradiction
548	contradiction
549	neutral
550	contradiction
551	neutral
552	contradiction
553	neutral
554	neutral
555	contradiction
556	contradiction
557	contradiction
558	neutral
559	contradiction
560	contradiction
561	neutral
562	neutral
563	neutral
564	contradiction
565	contradiction
566	entailment
567	entailment
568	contradiction
569	entailment
570	neutral
571	entailment
572	entailment
573	contradiction
574	contradiction
575	contradiction
576	neutral
577	neutral
578	contradiction
579	neutral
580	neutral
581	contradiction
582	entailment
583	neutral
584	neutral
585	neutral
586	entailment
587	entailment
588	contradiction
589	entailment
590	entailment
591	entailment
592	contradiction
593	contradiction
594	entailment
595	entailment
596	contradiction
597	contradiction
598	entailment
599	entailment
600	neutral
601	contradiction
602	entailment
603	contradiction
604	contradiction
605	contradiction
606	neutral
607	entailment
608	entailment
609	contradiction
610	entailment
611	contradiction
612	entailment
613	neutral
614	contradiction
615	entailment
616	neutral
617	contradiction
618	contradiction
619	entailment
620	contradiction
621	entailment
622	entailment
623	contradiction
624	contradiction
625	entailment
626	contradiction
627	entailment
628	neutral
629	neutral
630	entailment
631	neutral
632	entailment
633	entailment
634	contradiction
635	entailment
636	neutral
637	entailment
638	neutral
639	contradiction
640	neutral
641	neutral
642	entailment
643	entailment
644	entailment
645	entailment
646	neutral
647	neutral
648	contradiction
649	entailment
650	neutral
651	contradiction
652	contradiction
653	neutral
654	contradiction
655	contradiction
656	entailment
657	contradiction
658	neutral
659	contradiction
660	entailment
661	contradiction
662	contradiction
663	entailment
664	contradiction
665	entailment
666	neutral
667	contradiction
668	contradiction
669	neutral
670	neutral
671	neutral
672	contradiction
673	contradiction
674	entailment
675	contradiction
676	neutral
677	contradiction
678	entailment
679	neutral
680	entailment
681	entailment
682	entailment
683	neutral
684	neutral
685	contradiction
686	contradiction
687	contradiction
688	entailment
689	contradiction
690	neutral
691	neutral
692	contradiction
693	neutral
694	neutral
695	neutral
696	entailment
697	neutral
698	entailment
699	contradiction
700	entailment
701	neutral
702	entailment
703	neutral
704	contradiction
705	contradiction
706	entailment
707	contradiction
708	neutral
709	contradiction
710	contradiction
711	contradiction
712	contradiction
713	contradiction
714	neutral
715	contradiction
716	entailment
717	neutral
718	neutral
719	neutral
720	contradiction
721	entailment
722	entailment
723	entailment
724	neutral
725	neutral
726	entailment
727	neutral
728	entailment
729	neutral
730	entailment
731	entailment
732	contradiction
733	contradiction
734	neutral
735	neutral
736	contradiction
737	contradiction
738	neutral
739	contradiction
740	neutral
741	contradiction
742	neutral
743	contradiction
744	entailment
745	entailment
746	entailment
747	neutral
748	neutral
749	neutral
750	contradiction
751	neutral
752	neutral
753	entailment
754	neutral
755	entailment
756	neutral
757	neutral
758	contradiction
759	contradiction
760	neutral
761	neutral
762	neutral
763	contradiction
764	entailment
765	neutral
766	neutral
767	neutral
768	entailment
769	neutral
770	entailment
771	neutral
772	contradiction
773	contradiction
774	neutral
775	entailment
776	neutral
777	contradiction
778	contradiction
779	entailment
780	contradiction
781	neutral
782	neutral
783	entailment
784	neutral
785	contradiction
786	neutral
787	entailment
788	neutral
789	entailment
790	neutral
791	contradiction
792	contradiction
793	entailment
794	contradiction
795	contradiction
796	contradiction
797	neutral
798	contradiction
799	contradiction
800	neutral
801	contradiction
802	neutral
803	neutral
804	neutral
805	entailment
806	neutral
807	contradiction
808	entailment
809	contradiction
810	neutral
811	entailment
812	entailment
813	entailment
814	entailment
815	entailment
816	entailment
817	entailment
818	entailment
819	contradiction
820	neutral
821	contradiction
822	contradiction
823	neutral
824	entailment
825	contradiction
826	neutral
827	entailment
828	neutral
829	neutral
830	contradiction
831	contradiction
832	neutral
833	neutral
834	contradiction
835	contradiction
836	neutral
837	neutral
838	contradiction
839	contradiction
840	contradiction
841	neutral
842	contradiction
843	neutral
844	contradiction
845	entailment
846	entailment
847	contradiction
848	contradiction
849	contradiction
850	contradiction
851	contradiction
852	neutral
853	entailment
854	contradiction
855	entailment
856	neutral
857	neutral
858	entailment
859	entailment
860	contradiction
861	contradiction
862	contradiction
863	contradiction
864	contradiction
865	neutral
866	neutral
867	entailment
868	neutral
869	contradiction
870	neutral
871	entailment
872	entailment
873	neutral
874	contradiction
875	contradiction
876	neutral
877	entailment
878	contradiction
879	contradiction
880	neutral
881	contradiction
882	entailment
883	neutral
884	neutral
885	contradiction
886	neutral
887	neutral
888	contradiction
889	neutral
890	entailment
891	contradiction
892	neutral
893	contradiction
894	contradiction
895	entailment
896	entailment
897	entailment
898	neutral
899	neutral
900	neutral
901	neutral
902	neutral
903	neutral
904	entailment
905	contradiction
906	entailment
907	entailment
908	entailment
909	entailment
910	entailment
911	neutral
912	neutral
913	entailment
914	entailment
915	neutral
916	neutral
917	entailment
918	neutral
919	neutral
920	entailment
921	neutral
922	neutral
923	contradiction
924	entailment
925	entailment
926	entailment
927	entailment
928	contradiction
929	entailment
930	contradiction
931	neutral
932	contradiction
933	neutral
934	contradiction
935	entailment
936	entailment
937	entailment
938	entailment
939	neutral
940	neutral
941	contradiction
942	contradiction
943	contradiction
944	neutral
945	neutral
946	contradiction
947	neutral
948	neutral
949	entailment
950	entailment
951	contradiction
952	entailment
953	entailment
954	neutral
955	entailment
956	entailment
957	contradiction
958	entailment
959	neutral
960	neutral
961	contradiction
962	contradiction
963	entailment
964	entailment
965	contradiction
966	neutral
967	contradiction
968	neutral
969	neutral
970	contradiction
971	neutral
972	contradiction
973	entailment
974	contradiction
975	neutral
976	neutral
977	contradiction
978	neutral
979	entailment
980	entailment
981	neutral
982	contradiction
983	contradiction
984	neutral
985	entailment
986	contradiction
987	entailment
988	entailment
989	neutral
990	entailment
991	neutral
992	entailment
993	neutral
994	contradiction
995	contradiction
996	entailment
997	entailment
998	neutral
999	entailment
1000	entailment
1001	contradiction
1002	contradiction
1003	entailment
1004	contradiction
1005	neutral
1006	contradiction
1007	entailment
1008	contradiction
1009	neutral
1010	contradiction
1011	neutral
1012	neutral
1013	neutral
1014	contradiction
1015	neutral
1016	contradiction
1017	entailment
1018	contradiction
1019	entailment
1020	neutral
1021	entailment
1022	entailment
1023	contradiction
1024	entailment
1025	contradiction
1026	entailment
1027	entailment
1028	entailment
1029	contradiction
1030	neutral
1031	contradiction
1032	neutral
1033	neutral
1034	contradiction
1035	contradiction
1036	contradiction
1037	contradiction
1038	contradiction
1039	entailment
1040	entailment
1041	neutral
1042	contradiction
1043	contradiction
1044	contradiction
1045	contradiction
1046	entailment
1047	neutral
1048	entailment
1049	contradiction
1050	contradiction
1051	entailment
1052	entailment
1053	entailment
1054	neutral
1055	neutral
1056	neutral
1057	neutral
1058	contradiction
1059	contradiction
1060	entailment
1061	contradiction
1062	entailment
1063	neutral
1064	neutral
1065	entailment
1066	contradiction
1067	entailment
1068	neutral
1069	entailment
1070	entailment
1071	contradiction
1072	neutral
1073	entailment
1074	contradiction
1075	entailment
1076	entailment
1077	entailment
1078	neutral
1079	contradiction
1080	contradiction
1081	entailment
1082	entailment
1083	entailment
1084	neutral
1085	contradiction
1086	entailment
1087	contradiction
1088	entailment
1089	neutral
1090	entailment
1091	entailment
1092	entailment
1093	contradiction
1094	contradiction
1095	contradiction
1096	neutral
1097	contradiction
1098	entailment
1099	neutral
1100	entailment
1101	entailment
1102	neutral
1103	neutral
1104	neutral
1105	neutral
1106	neutral
1107	entailment
1108	neutral
1109	neutral
1110	contradiction
1111	entailment
1112	neutral
1113	entailment
1114	neutral
1115	entailment
1116	contradiction
1117	contradiction
1118	neutral
1119	contradiction
1120	entailment
1121	neutral
1122	neutral
1123	contradiction
1124	neutral
1125	neutral
1126	contradiction
1127	entailment
1128	contradiction
1129	contradiction
1130	entailment
1131	entailment
1132	entailment
1133	contradiction
1134	contradiction
1135	neutral
1136	entailment
1137	entailment
1138	neutral
1139	contradiction
1140	neutral
1141	neutral
1142	neutral
1143	contradiction
1144	neutral
1145	entailment
1146	entailment
1147	entailment
1148	contradiction
1149	contradiction
1150	contradiction
1151	neutral
1152	entailment
1153	contradiction
1154	neutral
1155	entailment
1156	neutral
1157	neutral
1158	contradiction
1159	entailment
1160	contradiction
1161	neutral
1162	neutral
1163	neutral
1164	contradiction
1165	contradiction
1166	neutral
1167	entailment
1168	entailment
1169	neutral
1170	contradiction
1171	contradiction
1172	contradiction
1173	entailment
1174	contradiction
1175	neutral
1176	contradiction
1177	entailment
1178	entailment
1179	neutral
1180	contradiction
1181	neutral
1182	entailment
1183	contradiction
1184	entailment
1185	neutral
1186	contradiction
1187	contradiction
1188	neutral
1189	entailment
1190	neutral
1191	entailment
1192	entailment
1193	contradiction
1194	contradiction
1195	entailment
1196	contradiction
1197	neutral
1198	entailment
1199	neutral
1200	contradiction
1201	contradiction
1202	entailment
1203	entailment
1204	entailment
1205	contradiction
1206	entailment
1207	neutral
1208	neutral
1209	entailment
1210	neutral
1211	contradiction
1212	neutral
1213	neutral
1214	neutral
1215	contradiction
1216	entailment
1217	entailment
1218	entailment
1219	contradiction
1220	contradiction
1221	entailment
1222	neutral
1223	entailment
1224	neutral
1225	entailment
1226	neutral
1227	neutral
1228	neutral
1229	neutral
1230	entailment
1231	entailment
1232	neutral
1233	contradiction
1234	neutral
1235	entailment
1236	entailment
1237	contradiction
1238	neutral
1239	contradiction
1240	contradiction
1241	contradiction
1242	entailment
1243	neutral
1244	entailment
1245	contradiction
1246	neutral
1247	neutral
1248	neutral
1249	contradiction
1250	contradiction
1251	neutral
1252	neutral
1253	neutral
1254	entailment
1255	entailment
1256	contradiction
1257	entailment
1258	neutral
1259	neutral
1260	entailment
1261	entailment
1262	entailment
1263	neutral
1264	entailment
1265	neutral
1266	entailment
1267	neutral
1268	neutral
1269	neutral
1270	contradiction
1271	contradiction
1272	contradiction
1273	contradiction
1274	contradiction
1275	neutral
1276	contradiction
1277	entailment
1278	contradiction
1279	contradiction
1280	neutral
1281	entailment
1282	neutral
1283	entailment
1284	entailment
1285	contradiction
1286	neutral
1287	entailment
1288	neutral
1289	contradiction
1290	neutral
1291	neutral
1292	contradiction
1293	contradiction
1294	contradiction
1295	neutral
1296	contradiction
1297	neutral
1298	contradiction
1299	contradiction
1300	entailment
1301	contradiction
1302	contradiction
1303	contradiction
1304	neutral
1305	entailment
1306	entailment
1307	entailment
1308	contradiction
1309	contradiction
1310	contradiction
1311	neutral
1312	contradiction
1313	contradiction
1314	contradiction
1315	contradiction
1316	contradiction
1317	entailment
1318	entailment
1319	entailment
1320	neutral
1321	contradiction
1322	contradiction
1323	contradiction
1324	contradiction
1325	contradiction
1326	neutral
1327	contradiction
1328	entailment
1329	contradiction
1330	neutral
1331	neutral
1332	contradiction
1333	entailment
1334	neutral
1335	neutral
1336	contradiction
1337	entailment
1338	entailment
1339	neutral
1340	contradiction
1341	entailment
1342	contradiction
1343	entailment
1344	entailment
1345	neutral
1346	contradiction
1347	neutral
1348	entailment
1349	neutral
1350	contradiction
1351	neutral
1352	contradiction
1353	neutral
1354	entailment
1355	neutral
1356	contradiction
1357	entailment
1358	contradiction
1359	neutral
1360	neutral
1361	neutral
1362	neutral
1363	entailment
1364	entailment
1365	contradiction
1366	contradiction
1367	entailment
1368	contradiction
1369	entailment
1370	entailment
1371	contradiction
1372	contradiction
1373	neutral
1374	entailment
1375	contradiction
1376	contradiction
1377	entailment
1378	neutral
1379	contradiction
1380	contradiction
1381	entailment
1382	entailment
1383	neutral
1384	neutral
1385	entailment
1386	contradiction
1387	contradiction
1388	neutral
1389	contradiction
1390	contradiction
1391	neutral
1392	neutral
1393	contradiction
1394	contradiction
1395	neutral
1396	neutral
1397	entailment
1398	entailment
1399	contradiction
1400	neutral
1401	entailment
1402	neutral
1403	contradiction
1404	entailment
1405	contradiction
1406	neutral
1407	entailment
1408	neutral
1409	contradiction
1410	entailment
1411	entailment
1412	entailment
1413	neutral
1414	entailment
1415	entailment
1416	entailment
1417	contradiction
1418	neutral
1419	contradiction
1420	contradiction
1421	contradiction
1422	neutral
1423	contradiction
1424	neutral
1425	entailment
1426	entailment
1427	entailment
1428	contradiction
1429	contradiction
1430	contradiction
1431	neutral
1432	contradiction
1433	contradiction
1434	entailment
1435	contradiction
1436	contradiction
1437	contradiction
1438	entailment
1439	entailment
1440	neutral
1441	contradiction
1442	contradiction
1443	entailment
1444	entailment
1445	entailment
1446	neutral
1447	contradiction
1448	entailment
1449	entailment
1450	contradiction
1451	neutral
1452	contradiction
1453	contradiction
1454	contradiction
1455	entailment
1456	entailment
1457	contradiction
1458	entailment
1459	entailment
1460	neutral
1461	entailment
1462	contradiction
1463	contradiction
1464	entailment
1465	neutral
1466	contradiction
1467	contradiction
1468	entailment
1469	contradiction
1470	neutral
1471	contradiction
1472	contradiction
1473	contradiction
1474	neutral
1475	neutral
1476	entailment
1477	neutral
1478	entailment
1479	entailment
1480	entailment
1481	entailment
1482	contradiction
1483	contradiction
1484	entailment
1485	entailment
1486	entailment
1487	contradiction
1488	entailment
1489	contradiction
1490	entailment
1491	neutral
1492	neutral
1493	entailment
1494	entailment
1495	contradiction
1496	entailment
1497	contradiction
1498	neutral
1499	entailment
1500	entailment
1501	neutral
1502	neutral
1503	contradiction
1504	entailment
1505	entailment
1506	contradiction
1507	entailment
1508	neutral
1509	entailment
1510	contradiction
1511	entailment
1512	contradiction
1513	neutral
1514	entailment
1515	entailment
1516	contradiction
1517	neutral
1518	contradiction
1519	entailment
1520	contradiction
1521	entailment
1522	contradiction
1523	contradiction
1524	contradiction
1525	neutral
1526	entailment
1527	contradiction
1528	entailment
1529	contradiction
1530	neutral
1531	contradiction
1532	entailment
1533	entailment
1534	entailment
1535	neutral
1536	contradiction
1537	neutral
1538	entailment
1539	contradiction
1540	entailment
1541	neutral
1542	contradiction
1543	contradiction
1544	contradiction
1545	neutral
1546	contradiction
1547	neutral
1548	neutral
1549	neutral
1550	entailment
1551	contradiction
1552	contradiction
1553	contradiction
1554	entailment
1555	contradiction
1556	contradiction
1557	entailment
1558	entailment
1559	neutral
1560	entailment
1561	neutral
1562	neutral
1563	entailment
1564	entailment
1565	contradiction
1566	contradiction
1567	entailment
1568	neutral
1569	contradiction
1570	entailment
1571	entailment
1572	entailment
1573	contradiction
1574	neutral
1575	neutral
1576	contradiction
1577	neutral
1578	contradiction
1579	entailment
1580	neutral
1581	entailment
1582	neutral
1583	entailment
1584	contradiction
1585	neutral
1586	entailment
1587	contradiction
1588	contradiction
1589	contradiction
1590	entailment
1591	entailment
1592	entailment
1593	neutral
1594	contradiction
1595	contradiction
1596	contradiction
1597	neutral
1598	entailment
1599	contradiction
1600	entailment
1601	contradiction
1602	neutral
1603	neutral
1604	neutral
1605	contradiction
1606	contradiction
1607	contradiction
1608	contradiction
1609	neutral
1610	entailment
1611	entailment
1612	entailment
1613	contradiction
1614	entailment
1615	entailment
1616	neutral
1617	neutral
1618	entailment
1619	contradiction
1620	neutral
1621	neutral
1622	neutral
1623	contradiction
1624	entailment
1625	neutral
1626	contradiction
1627	entailment
1628	neutral
1629	neutral
1630	contradiction
1631	neutral
1632	entailment
1633	entailment
1634	neutral
1635	entailment
1636	entailment
1637	neutral
1638	neutral
1639	neutral
1640	neutral
1641	neutral
1642	contradiction
1643	entailment
1644	neutral
1645	contradiction
1646	neutral
1647	contradiction
1648	neutral
1649	entailment
1650	contradiction
1651	neutral
1652	contradiction
1653	entailment
1654	contradiction
1655	neutral
1656	contradiction
1657	contradiction
1658	contradiction
1659	entailment
1660	entailment
1661	neutral
1662	entailment
1663	neutral
1664	neutral
1665	contradiction
1666	entailment
1667	entailment
1668	neutral
1669	neutral
1670	entailment
1671	neutral
1672	contradiction
1673	entailment
1674	contradiction
1675	neutral
1676	neutral
1677	contradiction
1678	neutral
1679	contradiction
1680	contradiction
1681	entailment
1682	contradiction
1683	neutral
1684	neutral
1685	entailment
1686	neutral
1687	contradiction
1688	entailment
1689	contradiction
1690	contradiction
1691	contradiction
1692	contradiction
1693	contradiction
1694	neutral
1695	contradiction
1696	entailment
1697	contradiction
1698	entailment
1699	entailment
1700	neutral
1701	entailment
1702	contradiction
1703	entailment
1704	entailment
1705	entailment
1706	entailment
1707	neutral
1708	neutral
1709	neutral
1710	neutral
1711	entailment
1712	contradiction
1713	neutral
1714	contradiction
1715	contradiction
1716	contradiction
1717	neutral
1718	contradiction
1719	entailment
1720	neutral
1721	contradiction
1722	contradiction
1723	neutral
1724	contradiction
1725	contradiction
1726	neutral
1727	neutral
1728	entailment
1729	neutral
1730	entailment
1731	contradiction
1732	neutral
1733	neutral
1734	contradiction
1735	contradiction
1736	neutral
1737	entailment
1738	neutral
1739	neutral
1740	neutral
1741	contradiction
1742	contradiction
1743	neutral
1744	neutral
1745	neutral
1746	contradiction
1747	entailment
1748	neutral
1749	entailment
1750	entailment
1751	neutral
1752	neutral
1753	entailment
1754	contradiction
1755	neutral
1756	neutral
1757	contradiction
1758	contradiction
1759	neutral
1760	contradiction
1761	neutral
1762	entailment
1763	entailment
1764	contradiction
1765	contradiction
1766	entailment
1767	entailment
1768	entailment
1769	neutral
1770	neutral
1771	contradiction
1772	contradiction
1773	entailment
1774	entailment
1775	contradiction
1776	contradiction
1777	contradiction
1778	neutral
1779	contradiction
1780	neutral
1781	contradiction
1782	contradiction
1783	neutral
1784	neutral
1785	contradiction
1786	entailment
1787	entailment
1788	neutral
1789	contradiction
1790	contradiction
1791	entailment
1792	contradiction
1793	contradiction
1794	entailment
1795	neutral
1796	neutral
1797	entailment
1798	neutral
1799	contradiction
1800	entailment
1801	neutral
1802	neutral
1803	neutral
1804	contradiction
1805	neutral
1806	contradiction
1807	contradiction
1808	contradiction
1809	contradiction
1810	entailment
1811	neutral
1812	contradiction
1813	entailment
1814	contradiction
1815	entailment
1816	neutral
1817	neutral
1818	contradiction
1819	neutral
1820	entailment
1821	contradiction
1822	contradiction
1823	entailment
1824	neutral
1825	entailment
1826	entailment
1827	contradiction
1828	contradiction
1829	contradiction
1830	contradiction
1831	entailment
1832	entailment
1833	entailment
1834	contradiction
1835	neutral
1836	contradiction
1837	entailment
1838	entailment
1839	contradiction
1840	contradiction
1841	contradiction
1842	neutral
1843	entailment
1844	entailment
1845	neutral
1846	contradiction
1847	neutral
1848	entailment
1849	entailment
1850	entailment
1851	entailment
1852	entailment
1853	entailment
1854	contradiction
1855	neutral
1856	contradiction
1857	entailment
1858	entailment
1859	contradiction
1860	entailment
1861	contradiction
1862	neutral
1863	entailment
1864	contradiction
1865	contradiction
1866	contradiction
1867	entailment
1868	entailment
1869	contradiction
1870	entailment
1871	contradiction
1872	neutral
1873	entailment
1874	contradiction
1875	neutral
1876	contradiction
1877	contradiction
1878	entailment
1879	entailment
1880	entailment
1881	neutral
1882	neutral
1883	entailment
1884	entailment
1885	neutral
1886	entailment
1887	entailment
1888	contradiction
1889	contradiction
1890	neutral
1891	neutral
1892	neutral
1893	entailment
1894	entailment
1895	contradiction
1896	entailment
1897	entailment
1898	contradiction
1899	contradiction
1900	entailment
1901	entailment
1902	contradiction
1903	contradiction
1904	contradiction
1905	contradiction
1906	entailment
1907	contradiction
1908	entailment
1909	neutral
1910	neutral
1911	neutral
1912	entailment
1913	entailment
1914	neutral
1915	neutral
1916	contradiction
1917	entailment
1918	neutral
1919	neutral
1920	neutral
1921	contradiction
1922	contradiction
1923	contradiction
1924	entailment
1925	neutral
1926	neutral
1927	contradiction
1928	contradiction
1929	contradiction
1930	contradiction
1931	entailment
1932	contradiction
1933	contradiction
1934	neutral
1935	neutral
1936	contradiction
1937	neutral
1938	entailment
1939	contradiction
1940	neutral
1941	neutral
1942	entailment
1943	entailment
1944	entailment
1945	entailment
1946	neutral
1947	contradiction
1948	contradiction
1949	entailment
1950	contradiction
1951	entailment
1952	entailment
1953	entailment
1954	contradiction
1955	entailment
1956	contradiction
1957	entailment
1958	entailment
1959	contradiction
1960	entailment
1961	entailment
1962	neutral
1963	entailment
1964	contradiction
1965	entailment
1966	contradiction
1967	contradiction
1968	neutral
1969	entailment
1970	neutral
1971	entailment
1972	contradiction
1973	neutral
1974	contradiction
1975	contradiction
1976	contradiction
1977	contradiction
1978	contradiction
1979	neutral
1980	entailment
1981	contradiction
1982	entailment
1983	entailment
1984	entailment
1985	entailment
1986	neutral
1987	entailment
1988	neutral
1989	contradiction
1990	contradiction
1991	neutral
1992	contradiction
1993	entailment
1994	entailment
1995	neutral
1996	neutral
1997	contradiction
1998	entailment
1999	neutral
2000	contradiction
2001	contradiction
2002	neutral
2003	neutral
2004	neutral
2005	contradiction
2006	neutral
2007	entailment
2008	neutral
2009	contradiction
2010	entailment
2011	contradiction
2012	entailment
2013	contradiction
2014	contradiction
2015	neutral
2016	neutral
2017	contradiction
2018	contradiction
2019	neutral
2020	entailment
2021	entailment
2022	contradiction
2023	contradiction
2024	contradiction
2025	entailment
2026	entailment
2027	neutral
2028	neutral
2029	contradiction
2030	contradiction
2031	neutral
2032	neutral
2033	contradiction
2034	contradiction
2035	entailment
